test_filename train_filename dist1 dist2 dist3 dist4 dist5
ML013.jpg image135.jpg 7969.713 7969.713 0.955 0.029 0.816
ML013.jpg image136.jpg 11577.603 11577.603 0.897 0.062 0.733
ML013.jpg image137.jpg 12200.741 12200.741 0.884 0.064 0.728
ML013.jpg image138.jpg 8285.840 8285.840 0.951 0.025 0.841
ML013.jpg image139.jpg 8296.112 8296.112 0.950 0.032 0.826
ML013.jpg image140.jpg 8757.253 8757.253 0.942 0.034 0.812
ML013.jpg MB002.jpg 36622.592 36622.592 0.506 0.296 0.410
ML013.jpg MB003.jpg 23014.504 23014.504 0.748 0.194 0.553
ML013.jpg MB004.jpg 31767.570 31767.570 0.546 0.285 0.427
ML013.jpg MB005.jpg 36498.844 36498.844 0.446 0.283 0.424
ML013.jpg MB006.jpg 31999.742 31999.742 0.564 0.268 0.436
ML013.jpg MB007.jpg 34971.510 34971.510 0.494 0.302 0.405
ML013.jpg MB008.jpg 36995.466 36995.466 0.457 0.300 0.398
ML013.jpg MB009.jpg 35606.235 35606.235 0.524 0.288 0.420
ML013.jpg MB010.jpg 34972.925 34972.925 0.536 0.285 0.423
ML013.jpg MB011.jpg 37136.905 37136.905 0.498 0.297 0.407
ML013.jpg MB012.jpg 34002.738 34002.738 0.522 0.286 0.417
ML013.jpg WL001.jpg 10789.792 10789.792 0.932 0.046 0.769
ML013.jpg WL002.jpg 20484.209 20484.209 0.711 0.106 0.625
ML013.jpg WL004.jpg 9714.412 9714.412 0.943 0.035 0.796
ML013.jpg WL005.jpg 9417.098 9417.098 0.942 0.036 0.794
ML013.jpg WL006.jpg 21673.176 21673.176 0.668 0.125 0.591
ML013.jpg WL007.jpg 9741.036 9741.036 0.934 0.038 0.791
ML013.jpg WL008.jpg 11302.947 11302.947 0.919 0.050 0.762
ML013.jpg WL009.jpg 9613.950 9613.950 0.936 0.035 0.802
ML013.jpg WL010.jpg 14737.733 14737.733 0.865 0.095 0.688
ML013.jpg WL011.jpg 25961.952 25961.952 0.619 0.178 0.525
ML013.jpg WL012.jpg 9787.590 9787.590 0.933 0.039 0.794
